Profiling results:
------------------

Executable name: D:\GitHub\VisualFBEditor\Controls\MyFbFramework\examples\Grid\Grid Example.exe
Launched on: 02-09-2025, 11:50:06
Total program execution time: 300.9 seconds


Per function results:

        Function:                                                                         Count:       Time:    Total%:    Proc%:
        FB___MAIN                                                                              1     0.00000      0.00%     0.00%
        __ZN2MY3SYS5FORMS4FORM15MAINFORM__set__Eb@8                                            1     0.00000      0.00%     0.00%
        __ZN2MY3SYS5FORMS8GRIDCELL16BACKCOLOR__set__El@8                                       3     0.00000      0.00%     0.00%
        FB_WSTRCOMPARE                                                                         1     0.00000      0.00%     0.00%
        __ZN2MY3SYS5FORMS8CHECKBOX14CHECKED__set__Eb@8                                         1     0.00000      0.00%     0.00%
        __ZN2MY3SYS5FORMS7CONTROL19CONTROLINDEX__set__El@8                                     5     0.00000      0.00%     0.00%
        __ZN2MY3SYS7DRAWING4FONT11SIZE__get__Ev@4                                              1     0.00000      0.00%     0.00%
        __ZN2MY11APPLICATION3RUNEv@4                                                           0     0.00000      0.00%     0.00%

ALLOWDARKMODEFORAPP                                                                            1     0.00000      0.00%

        {fbfp}F16PREFERREDAPPMODES_E$1                                                         1     0.00000      0.00%    16.67%

ALLOWDARKMODEFORWINDOW                                                                         1     0.00000      0.00%

        {fbfp}FiP6HWND__iE$1                                                                   1     0.00000      0.00%    88.57%

CALLWINDOWPROC                                                                               621     0.10508      0.03%

        DEFWINDOWPROC                                                                        313     0.03457      0.01%    32.90%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_50F0ER7MESSAGE@8                                        313     0.00137      0.00%     1.31%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                     314     0.00028      0.00%     0.27%
        GETWINDOWLONGPTR                                                                     314     0.00016      0.00%     0.15%
        FB_WSTRCOMPARE                                                                       314     0.00013      0.00%     0.12%
        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                          1     0.00002      0.00%     0.02%
        CALLWINDOWPROC                                                                         1     0.00000      0.00%     0.00%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                          1     0.00000      0.00%     0.00%

CREATEWINDOWEX                                                                                 1     0.00260      0.00%

        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                          2     0.00001      0.00%     0.55%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                          2     0.00000      0.00%     0.13%
        CALLWINDOWPROC                                                                         2     0.00000      0.00%     0.06%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                       2     0.00000      0.00%     0.03%
        GETWINDOWLONGPTR                                                                       2     0.00000      0.00%     0.01%
        FB_WSTRCOMPARE                                                                         2     0.00000      0.00%     0.01%

CREATEWINDOWEXW                                                                                1     0.00596      0.00%

        DEFWINDOWPROC                                                                          4     0.00043      0.00%     7.20%
        GETWINDOWLONGPTR                                                                       4     0.00000      0.00%     0.03%

DEFWINDOWPROC                                                                                214     0.00882      0.00%

        DEFWINDOWPROC                                                                          4     0.00017      0.00%     1.88%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_50F0ER7MESSAGE@8                                          4     0.00001      0.00%     0.10%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                       4     0.00000      0.00%     0.02%
